"","date","tr","Mean","n_intervention","n_control"
"1",2013-09-01,"Any WASH Intervention",2.32558139534884,215,92
"2",2013-10-01,"Any WASH Intervention",1.86666666666667,375,134
"3",2013-11-01,"Any WASH Intervention",2.08333333333333,240,96
"4",2013-12-01,"Any WASH Intervention",4.48430493273543,223,79
"5",2014-01-01,"Any WASH Intervention",3.24825986078886,431,153
"6",2014-02-01,"Any WASH Intervention",3.16205533596838,253,110
"7",2014-03-01,"Any WASH Intervention",5.41310541310542,351,135
"8",2014-04-01,"Any WASH Intervention",5.29801324503311,453,171
"9",2014-05-01,"Any WASH Intervention",5.85858585858586,495,205
"10",2014-06-01,"Any WASH Intervention",5.05494505494505,455,184
"11",2014-07-01,"Any WASH Intervention",3.04568527918782,197,73
"12",2014-08-01,"Any WASH Intervention",3.15533980582524,412,159
"13",2014-09-01,"Any WASH Intervention",2.51889168765743,397,138
"14",2014-10-01,"Any WASH Intervention",NA,0,0
"15",2014-11-01,"Any WASH Intervention",NA,0,0
"16",2014-12-01,"Any WASH Intervention",2.88461538461539,208,78
"17",2015-01-01,"Any WASH Intervention",2.17983651226158,367,121
"18",2015-02-01,"Any WASH Intervention",3.95604395604395,455,197
"19",2015-03-01,"Any WASH Intervention",3.20284697508897,281,106
"20",2015-04-01,"Any WASH Intervention",4.2483660130719,612,244
"21",2015-05-01,"Any WASH Intervention",3.61216730038023,526,178
"22",2015-06-01,"Any WASH Intervention",5.23465703971119,554,207
"23",2015-07-01,"Any WASH Intervention",3.08370044052863,454,226
"24",2015-08-01,"Any WASH Intervention",4.67289719626168,321,113
"25",2015-09-01,"Any WASH Intervention",4.11985018726592,267,99
"26",2015-10-01,"Any WASH Intervention",3.48837209302326,430,168
"27",2013-09-01,"Control",3.26086956521739,215,92
"28",2013-10-01,"Control",2.23880597014925,375,134
"29",2013-11-01,"Control",4.16666666666667,240,96
"30",2013-12-01,"Control",1.26582278481013,223,79
"31",2014-01-01,"Control",3.92156862745098,431,153
"32",2014-02-01,"Control",2.72727272727273,253,110
"33",2014-03-01,"Control",3.7037037037037,351,135
"34",2014-04-01,"Control",8.18713450292398,453,171
"35",2014-05-01,"Control",3.41463414634147,495,205
"36",2014-06-01,"Control",11.4130434782609,455,184
"37",2014-07-01,"Control",15.0684931506849,197,73
"38",2014-08-01,"Control",10.062893081761,412,159
"39",2014-09-01,"Control",5.07246376811594,397,138
"40",2014-10-01,"Control",NA,0,0
"41",2014-11-01,"Control",NA,0,0
"42",2014-12-01,"Control",6.41025641025641,208,78
"43",2015-01-01,"Control",4.95867768595041,367,121
"44",2015-02-01,"Control",1.52284263959391,455,197
"45",2015-03-01,"Control",1.88679245283019,281,106
"46",2015-04-01,"Control",4.91803278688525,612,244
"47",2015-05-01,"Control",8.98876404494382,526,178
"48",2015-06-01,"Control",10.1449275362319,554,207
"49",2015-07-01,"Control",6.19469026548673,454,226
"50",2015-08-01,"Control",9.73451327433628,321,113
"51",2015-09-01,"Control",1.01010101010101,267,99
"52",2015-10-01,"Control",2.97619047619048,430,168
