"Variable","level","PR","CI_lb","CI_ub"
"Rainy Season","Rainy season",1.01,0.68,1.49
"Rainy Season","Not rainy season",1.05,0.79,1.4
"Heavy Rain","Heavy Rain",1.06,0.68,1.67
"Heavy Rain","No Heavy Rain",1.03,0.77,1.39
"Total Weekly Precipitation","Above Median",0.95,0.66,1.36
"Total Weekly Precipitation","Below Median",1.13,0.72,1.76
"Average","Above Median",1.04,0.71,1.51
"Average","Below Median",1,0.73,1.37
"Minimum","Above Median",1.05,0.72,1.54
"Minimum","Below Median",0.98,0.7,1.36
"Maximum","Above Median",1.05,0.69,1.6
"Maximum","Below Median",0.98,0.72,1.32
