"Lag Period","Variable","level","PR","CI_lb","CI_ub"
"0 Week Lag","Heavy Rain","Heavy Rain",0.59,0.44,0.78
"0 Week Lag","Heavy Rain","No Heavy Rain",0.75,0.46,1.23
"1 Week Lag","Heavy Rain","Heavy Rain",0.49,0.35,0.68
"1 Week Lag","Heavy Rain","No Heavy Rain",0.87,0.6,1.25
"2 Week Lag","Heavy Rain","Heavy Rain",0.55,0.41,0.73
"2 Week Lag","Heavy Rain","No Heavy Rain",0.84,0.63,1.12
"3 Week Lag","Heavy Rain","Heavy Rain",0.54,0.4,0.74
"3 Week Lag","Heavy Rain","No Heavy Rain",0.86,0.59,1.24
"0 Week Lag","Total Weekly Precipitation","Above Median",0.61,0.47,0.78
"0 Week Lag","Total Weekly Precipitation","Below Median",0.82,0.55,1.23
"1 Week Lag","Total Weekly Precipitation","Above Median",0.56,0.44,0.72
"1 Week Lag","Total Weekly Precipitation","Below Median",0.85,0.43,1.69
"2 Week Lag","Total Weekly Precipitation","Above Median",0.57,0.43,0.75
"2 Week Lag","Total Weekly Precipitation","Below Median",0.96,0.62,1.49
"3 Week Lag","Total Weekly Precipitation","Above Median",0.58,0.3,1.12
"3 Week Lag","Total Weekly Precipitation","Below Median",0.98,0.65,1.5
